"","hscore","VocabularyLength","Organization","VocabularyFrequency","Interactivity","SentenceLength","SentenceStructure","SentenceComplexity","GrammarUsage","Narrativity","Contextualization","Conventionality","Mechanics","Dialogue","Cohesion","Concreteness","StanceTaking"
"1",3.29309343048603e-16,1.32434833108882e-05,1.26332043737068e-06,-1.41592071809433e-05,5.64159230813313e-06,6.86673437213413e-08,1.06247421519303e-15,-5.79943544295017e-17,-2.37929106204024e-16,-0.000288609478889791,9.77541740372949e-05,4.98210481621419e-10,-6.00709576692265e-16,-2.08867240076447e-16,3.53990061109562e-16,7.20564971341202e-16,-4.84410094975872e-09
"2",2.90702398726438e-15,1.00580781414714e-05,9.59458731263223e-07,-1.07535463925451e-05,4.28464135419446e-06,5.21510444614273e-08,-3.26860516782517e-15,-1.77972690317462e-15,1.93740758497663e-15,-0.000219191327724482,7.42417306636889e-05,3.78379434742686e-10,3.37306312782483e-15,2.47004348437652e-15,3.3351983352423e-16,1.12974038579063e-15,-3.67897135576087e-09
"3",1.72503029354049e-14,-1.3332495084138e-05,-1.27181142953554e-06,1.4254373698244e-05,-5.67951044204967e-06,-6.91288615822285e-08,5.42233409580554e-15,9.55787533525352e-15,7.12486979694325e-15,0.000290549273898757,-9.84111970095279e-05,-5.01553521215532e-10,2.74831877931978e-15,6.85213610325751e-15,8.56591919390982e-16,4.71126710155686e-15,4.87665623284686e-09
"4",3.6574936314421e-15,-6.00912926314518e-05,-5.73221986446936e-06,6.42463196527412e-05,-2.55982936104881e-05,-3.11572821878575e-07,-2.8973446276074e-15,-2.82541296234062e-15,-2.66415068356777e-15,0.00130954343682803,-0.0004435520882018,-2.26059171542525e-09,9.71051233277049e-17,-2.97969314754871e-15,7.09149664525411e-16,-4.61711409862706e-16,2.19797445671546e-08
"5",-6.48141483838003e-16,1.82497265215816e-06,1.74087525125936e-07,-1.95116083309648e-06,7.77420220563968e-07,9.46246650380375e-09,-1.09615664624771e-15,-2.25007191447146e-15,-6.30200666885822e-16,-3.97708363076796e-05,1.34706776429033e-05,6.86522265015755e-11,2.18598147354212e-17,7.21290547666028e-16,3.56934731363729e-16,2.29354346549879e-16,-6.67524696380172e-10
"6",-2.31554705927137e-15,4.14669235523172e-06,3.95560674920979e-07,-4.43341640564178e-06,1.76644974275567e-06,2.15005632681312e-08,2.24727851672304e-16,3.81869509296623e-16,-9.24016374531082e-17,-9.03670652201317e-05,3.06079961556113e-05,1.55993253523018e-10,-1.26875695189575e-15,-8.69576482050647e-16,9.28189702436721e-16,2.45377162860994e-15,-1.51674593398113e-09
"7",2.77951302617256e-15,3.13956601715021e-05,2.99489026011497e-06,-3.35665207174738e-05,1.33742392939812e-05,1.62786221425073e-07,2.08511411908745e-15,2.52157788316388e-15,2.31046390587786e-15,-0.000684191983874686,0.000231740906518755,1.18108764667701e-09,5.02410614911299e-15,1.5908759716457e-15,-6.45042790413936e-16,3.43838499807059e-16,-1.14836707566139e-08
"8",3.22272094989678e-15,4.05322151270774e-05,3.86644317992184e-06,-4.33348249846362e-05,1.72663209266565e-05,2.10159177574888e-07,1.2507759746846e-16,-1.13801317942935e-15,-3.31288728243508e-16,-0.000883300957152805,0.000299180594578914,1.5247899913965e-09,2.29821463782242e-15,1.09617307365418e-15,6.04224651647516e-16,-4.58424799220922e-16,-1.4825573147755e-08
"9",-2.1908543695404e-15,-1.53360030952697e-05,-1.46292978377191e-06,1.63964147537105e-05,-6.53298494200488e-06,-7.95170395391574e-08,-1.36713419494549e-15,-1.06952113513359e-15,-1.7064269795192e-16,0.00033421085354179,-0.000113199698321309,-5.76932141862562e-10,-2.08937945671194e-15,-7.41292076217453e-16,-2.51949333220046e-16,9.47128716063065e-16,5.609489678265e-09
"10",1.02032218586659e-15,-2.21855189080303e-05,-2.11631780174403e-06,2.3719542006285e-05,-9.45081062755929e-06,-1.1503171949189e-07,-2.3242084246859e-16,-2.2963479315136e-15,-3.6072616032718e-16,0.000483479376299117,-0.000163758055615113,-8.34604701725505e-10,1.56089850715045e-15,1.00069931176144e-15,5.88868128220124e-16,-1.45922111475008e-15,8.11485338505683e-09
"11",-4.93717885841754e-16,-1.28359916385218e-05,-1.22444904860003e-06,1.37235393926825e-05,-5.4680049010548e-06,-6.65545025003739e-08,1.50080855370096e-15,5.58087977222398e-16,-8.41349186382537e-17,0.000279729189879161,-9.47463541946733e-05,-4.82879277933958e-10,-3.53227943327773e-15,-6.68551615999741e-16,-2.66363138353909e-16,-2.26860755318777e-16,4.69505284753774e-09
"12",1.63387262272422e-15,-2.02022297702587e-05,-1.92712816985759e-06,2.15991178537731e-05,-8.60594916235752e-06,-1.04748382932121e-07,-1.57924530381571e-15,9.18499217158894e-16,-7.0585415255833e-16,0.000440258417641573,-0.000149118795909336,-7.59991067331658e-10,1.15780473668518e-15,-2.09447909689998e-16,-1.21557210835828e-16,2.09214413725578e-16,7.38942015457147e-09
"13",-2.2349954645557e-15,-1.1507504513408e-05,-1.09772220034612e-06,1.23031937075831e-05,-4.90208258649394e-06,-5.96663095115334e-08,-1.05004466051961e-15,1.48471716317966e-15,-7.18197979110464e-16,0.000250778047085356,-8.4940387107169e-05,-4.32901224669534e-10,5.34943199657465e-16,-3.01564332104925e-16,1.74860877027427e-15,-2.21863684692577e-15,4.20913079751928e-09
"14",-1.21214683647926e-15,6.02264944328144e-06,5.74511705406823e-07,-6.43908700525712e-06,2.56558882402716e-06,3.12273822599455e-08,1.16833395031356e-15,8.74816396224351e-16,-6.76795559056183e-16,-0.000131248983105088,4.44550053817682e-05,2.26565114587888e-10,5.93026471846836e-16,3.44635747772738e-15,7.86324129621409e-16,2.71621913948167e-15,-2.20292105002089e-09
"15",-5.78410572035628e-16,-7.58297001433483e-06,-7.23353576681756e-07,8.10729631921428e-06,-3.23026988237201e-06,-3.93176327833493e-08,-4.39608635278002e-16,-3.32844516011276e-15,-1.51318779500906e-15,0.000165252371521973,-5.59722055852722e-05,-2.85266475242738e-10,2.03990294677615e-15,-1.00581374018652e-15,-3.43706003393883e-16,6.89498850600066e-17,2.77364366190271e-09
"16",-1.56186273224511e-15,-1.81939021913191e-05,-1.7355500781194e-06,1.94519239731981e-05,-7.75042156161645e-06,-9.43352213853249e-08,-4.37029316839982e-16,-1.54658321810634e-15,7.36470383291959e-16,0.000396491807008562,-0.000134294719828514,-6.84443629593912e-10,-1.20886002445568e-15,1.73931891914941e-16,9.71819382249135e-16,3.1159230041421e-16,6.65482794270827e-09
"17",3.96395118968928e-16,-1.13776929162165e-06,-1.0853392244874e-07,1.21644063026047e-06,-4.84678415598234e-07,-5.89932366316145e-09,-9.98783757457671e-16,-1.55896716732494e-15,1.81502133762367e-15,2.47949119916874e-05,-8.39822084487187e-06,-4.28004757599175e-11,2.21790326084237e-15,-3.58470678960855e-16,7.48661671986517e-16,1.47765084179767e-16,4.16164565480819e-10
"18",-1.67634775492127e-15,3.65941204755492e-05,3.49078103016655e-06,-3.91244298260625e-05,1.55887317346441e-05,1.89740190289677e-07,-1.52840886538742e-15,2.14202932526345e-16,1.24959912508196e-15,-0.000797479771207573,0.000270112321490051,1.37664184282429e-09,1.80707445947205e-15,1.58507826212236e-16,-2.01443319292887e-16,1.15747387238694e-15,-1.33851253348398e-08
"19",7.1812766518265e-16,-1.92046016808299e-05,-1.83196257076972e-06,2.05325085270678e-05,-8.18096950784691e-06,-9.95756877075478e-08,9.08983703436411e-16,2.20852971205719e-15,-1.08581619869668e-16,0.00041851754198147,-0.000141754999851094,-7.22460310359634e-10,6.31616092412149e-16,1.81615604769798e-15,-1.06337029482342e-15,1.85061018964141e-16,7.0245151167039e-09
"20",-0.124342495674054,-0.118048604382675,-0.139295772878692,0.106071411857709,0.123910540095162,-0.486776429407138,-0.566772481897138,-0.449660154284542,-0.229166599695098,0.0126873610039202,0.0204400711308489,-0.00424124772066551,0.0453481168264016,-0.0222043014651516,0.0397032342624002,0.0489287163310754,-0.0291596831862168
"21",-2.07875112486984e-15,-8.83797815856361e-06,-8.4307113213914e-07,9.44908230583117e-06,-3.76489088277602e-06,-4.5824837782374e-08,-8.68637262746977e-16,-1.36700361951902e-15,-2.23319658763334e-15,0.000192602218699307,-6.52358019536277e-05,-3.32481354602016e-10,-1.74298414624344e-15,4.13758684174282e-16,1.31675736485293e-15,-5.34336961618059e-16,3.23269013777275e-09
"22",4.76889159734533e-16,8.80104624862795e-06,8.39548130177782e-07,-9.40959672682794e-06,3.74915825084771e-06,4.56333477675243e-08,1.88661581474913e-15,4.00338426884898e-15,1.59464429948926e-15,-0.000191797377633801,6.4963196306429e-05,3.31089719609445e-10,-2.60925307648129e-16,-4.65838427960014e-16,-3.44535944278664e-16,1.18022044488289e-15,-3.21918156825168e-09
"23",1.88383982163094e-15,2.22141575921072e-06,2.11904970147263e-07,-2.37501609128267e-06,9.46301038666838e-07,1.15180199353722e-08,1.25265150379579e-15,7.50616105658662e-16,-6.68781593009062e-16,-4.84103486024144e-05,1.63969446192304e-05,8.35671246151209e-11,-1.85401373490132e-15,-3.57467949134977e-16,8.83721005040849e-16,1.46124455621955e-15,-8.12532770319942e-10
"24",1.54818580517518e-15,-3.63333518273219e-05,-3.46590582300016e-06,3.88456302638597e-05,-1.54776468804852e-05,-1.88388108098296e-07,6.15844350531212e-16,-1.74392224276276e-16,-2.91982039322717e-17,0.000791796953330734,-0.000268187508866647,-1.36683302262935e-09,1.17063178193898e-15,-8.08689104153038e-16,-8.29914090842668e-16,-1.17861255221837e-15,1.32897444532106e-08
"25",3.22655181486641e-15,4.33508239185056e-06,4.13531550979761e-07,-4.63483271530053e-06,1.84670202632564e-06,2.2477364213243e-08,-5.44075145034281e-17,-1.14349397521014e-15,-4.92221187248259e-16,-9.44725674212501e-05,3.19985602458017e-05,1.6308331164766e-10,-3.47417212771786e-16,-8.11626726386634e-16,2.55959552809444e-16,1.2631312579393e-16,-1.58565475394562e-09
"26",2.49120029837038e-15,-1.81352562602906e-05,-1.72995573191912e-06,1.93892229601736e-05,-7.72543897937725e-06,-9.40311427448103e-08,5.96930213370213e-16,-8.28662319768347e-16,6.85359634774167e-16,0.000395213761777267,-0.000133861836416031,-6.82231823740341e-10,1.58652516290365e-15,-4.33289681552957e-16,4.83172994895937e-16,1.26347310012476e-15,6.63338020997883e-09
"27",5.61836275007922e-16,-1.21412886467573e-05,-1.15818004591989e-06,1.29808009962913e-05,-5.17206833130021e-06,-6.29524729330446e-08,1.23771441174552e-15,-5.51835187956574e-16,9.21486710989085e-16,0.00026458982930405,-8.96185403286849e-05,-4.56750413496571e-10,-1.63870087330772e-16,1.26770356711725e-16,7.45233328259925e-16,-1.00415924689775e-15,4.4409501491953e-09
