"","hscore","Formality","Narrativity","SentenceStructure","SentenceLength","SentenceComplexity","Cohesion","Dialogue","Organization","GrammarUsage","Concreteness","Conventionality","Mechanics","Interactivity","Contextualization","StanceTaking","VocabularyLength","VocabularyFrequency","lt_final_scr"
"1",5.78513220761517e-18,-8.35275288831195e-07,0.000213626811204101,4.6284939177994e-16,-0.000337708516654283,-0.00048963163147916,-0.000144362234962179,-5.60766056641311e-16,3.60684390236914e-06,-3.22278533851463e-16,-6.68175178708927e-16,-1.59768856232946e-16,-2.92689248524342e-16,-1.92167772132858e-07,-6.14243482988354e-05,-5.6132966816877e-16,5.36858310702783e-06,1.09404513833848e-05,-3.98969303464466e-17
"2",-3.86197990003813e-15,9.50510368474926e-06,0.000822084655831926,3.31555228246749e-15,0.00495748280038879,0.00718767893576447,0.00211920417033405,6.73674032666547e-15,-5.29476330268615e-05,2.28268988238992e-14,-4.20046139481413e-15,7.87153409330289e-16,-7.42724155857816e-15,2.18679352441011e-06,-0.000116762224801218,3.82094709120493e-15,2.35357501997475e-07,-7.71951918474527e-05,1.90340991055807e-15
"3",2.6212581805377e-15,9.32625661375552e-06,-0.000139192883009798,-4.23425827461409e-15,0.00454017197704263,0.00658263473582306,0.00194081387171035,8.51832470122713e-15,-4.84906089125341e-05,2.36040727676751e-14,-2.42137402533344e-15,5.62638883469118e-15,-6.78938180612619e-15,2.14564704453132e-06,0.00012260774828217,-2.75285015268365e-15,-1.75996926547486e-05,-8.94956759823033e-05,6.58536906273191e-15
"4",7.21034675527293e-16,1.36389590120936e-06,-0.000442725281957922,3.13604648566604e-15,0.000519264067153549,0.000752862601411113,0.000221972848101129,-1.75734742902913e-15,-5.54592005280971e-06,-1.60809179875827e-14,7.70378868329128e-16,4.06122533042126e-16,3.13697943435552e-15,3.13784976009313e-07,0.000123844641038626,8.94983151910075e-16,-1.05364322398577e-05,-1.92297379159593e-05,7.36606567467211e-16
"5",-1.45838777536159e-15,7.12259287153668e-06,-0.00061172913745072,-2.37622770861066e-16,0.00329423572337893,0.00477619583803628,0.00140820621353908,1.05083706592348e-15,-3.51835782791406e-05,-3.47440857276468e-14,3.35481681500226e-15,-4.26616189450836e-16,1.3858512195293e-14,1.63866071186059e-06,0.000220378764451749,2.21809506064203e-15,-2.29695353321321e-05,-7.56984783712402e-05,4.27862082117043e-15
"6",-2.27372681874185e-15,3.24484730561877e-06,0.000633189879860584,-3.15297966913786e-16,0.00181316440636548,0.00262884293006009,0.000775083994476016,5.53892229919243e-16,-1.93652237339497e-05,8.51197675775476e-15,9.36226723096074e-16,8.68455312779171e-16,-4.97071147751391e-15,7.46526429435369e-07,-0.000128265616145456,3.40590061546179e-15,6.72664717084161e-06,-2.12264792342474e-05,5.26263627944663e-16
"7",9.43908037767139e-16,9.52435192720294e-06,0.000639814759812627,-1.24081671140058e-15,0.00490450647415809,0.00711087043445653,0.00209655807028442,-3.97743415919495e-15,-5.23818275152419e-05,-3.55638978364535e-15,-1.6886918311848e-15,4.27238487324559e-16,2.94091081902481e-15,2.19122187520456e-06,-7.08748595205787e-05,1.49776830376079e-17,-3.23174576085621e-06,-8.00261030635327e-05,-9.24571245469988e-16
"8",-6.86077369074981e-16,-2.12582614749153e-06,-5.18370091791949e-05,-2.74372168015286e-16,-0.0010635153974027,-0.00154195335163891,-0.000454627147712307,1.77596615700938e-15,1.13587127299089e-05,4.94558142034732e-14,-3.18848500513492e-15,3.27014843555886e-15,-1.26765438557755e-14,-4.89078604078794e-07,-6.99237119171117e-06,1.18104485817969e-15,2.43629228335717e-06,1.91845264194586e-05,-4.92382137768026e-15
"9",-2.75761409194779e-15,7.04907330525905e-06,0.000720230041012087,-8.72313226350114e-16,0.00371439438295013,0.00538536901496266,0.00158781389337099,2.8285677103037e-16,-3.9671018256247e-05,-8.3792634192517e-15,-1.19379511609863e-15,-6.32568350316014e-16,6.63237893821382e-16,1.62174642256018e-06,-0.000114317300885034,7.30711287012443e-16,2.25892995905664e-06,-5.56409588735472e-05,-5.04133451089861e-16
"10",1.04513836933565e-15,5.33649599050879e-06,0.000665815665787103,-1.60712505220178e-15,0.00285328520493933,0.00413687728047071,0.0012197105161899,6.6868583884315e-18,-3.04740740512359e-05,1.58807397699732e-14,-2.59146968162402e-16,9.13183025491385e-16,-5.36612744731537e-15,1.22774199109042e-06,-0.000116777203414192,1.08759610391956e-15,3.98306063200418e-06,-4.03698024103212e-05,-2.6826793772149e-15
"11",6.61499602947685e-16,-8.30882251320754e-06,0.000671210021301083,6.21939345980611e-16,-0.003857398890644,-0.00559270619172594,-0.0016489448667454,5.74244029408771e-16,4.11983559242621e-05,-1.47679405007144e-14,-4.86877842590194e-16,-1.23615008566597e-15,3.04014182990214e-15,-1.91157086435955e-06,-0.000246449528381787,-1.02981330134937e-15,2.59956660993929e-05,8.76891267877999e-05,-6.5643148714476e-16
"12",-7.07710674033542e-16,1.28531424045594e-05,0.000116627022267061,-3.74873543960653e-15,0.00636279359264316,0.00922518933899853,0.00271994059473702,2.09163672079002e-15,-6.79568389272684e-05,3.09154428823667e-14,-6.69197439116081e-18,1.48237884945614e-15,-7.01250697056883e-15,2.95706070511465e-06,9.16244362929854e-05,-1.73488662528846e-15,-1.84401961314942e-05,-0.000118854739903305,9.95960734385928e-16
"13",3.37513144477438e-16,7.13445116292422e-06,-0.000216192131353414,2.14188737950488e-16,0.00343557891836286,0.00498112433627344,0.00146862701585546,1.62265594253024e-15,-3.66931725476736e-05,7.38079404974435e-15,-1.57938118401897e-15,2.55825187414473e-15,-1.07372082720332e-16,1.64138889543659e-06,0.000121304644635891,-1.02161789946188e-15,-1.5531818915807e-05,-7.00582078366463e-05,2.34968827616573e-15
"14",4.88231201058628e-16,1.75734048876569e-05,-0.000253274480132801,-1.489882099806e-15,0.00855810197178921,0.0124080892964199,0.00365838190851808,1.85407155739488e-15,-9.14034926263298e-05,1.95904223984879e-14,-7.21879307338192e-16,4.32049578966745e-16,-4.432486102545e-15,4.04302881117118e-06,0.000228770681482684,-8.52505470830226e-16,-3.29932079110017e-05,-0.000168505169530726,-6.8383157432502e-16
"15",8.58951100515843e-16,2.92974542733925e-06,-0.000820719852154916,-3.26750845424683e-16,0.00116005157962398,0.00168191774717257,0.000495894034195188,1.03776444715229e-15,-1.23897525822994e-05,-7.95727703438196e-15,-2.97341618055635e-16,2.33783387508596e-16,2.85447979540975e-15,6.74032450452358e-07,0.000233356439755235,-3.09393461143691e-15,-2.01768318143293e-05,-3.94123671981586e-05,-3.1600822982429e-16
"16",2.33094892214034e-15,2.05492350158518e-06,0.00050238879112036,2.48118419976266e-15,0.0011829939545128,0.00171518108490758,0.000505701345386073,-6.20796530969712e-16,-1.26347850900708e-05,-1.78522882798953e-15,-1.48907268154799e-15,1.36240609210641e-15,2.5279916238611e-15,4.72766371910246e-07,-0.000106655639639833,1.32918428643209e-16,6.17146879426317e-06,-1.1968066720087e-05,5.10400006150906e-17
